Subject_ID,Date_of_Collection,What is the product you're rating,Overall customer satisfaction with the product,Likeliness to buy the product,Likeliness to recommend the product
1,01/15/2019,Mute,1,10,6
1,01/29/2019,MyTAP V,8,1,2
1,02-12-2019,SPT,6,5,4
2,01/13/2019,Mute,7,7,8
2,01/27/2019,MyTAP V,1,2,1
2,02-10-2019,SPT,7,6,2
5,01/16/2019,Mute,9,4,5
5,01/30/2019,MyTAP V,7,6,8
5,02/13/2019,SPT,9,8,2
6,01/13/2019,Mute,4,6,1
6,01/27/2019,MyTAP V,4,1,6
6,02-10-2019,SPT,7,5,2
7,01/16/2019,Mute,4,2,1
7,02/13/2019,SPT,4,2,7
8,01/16/2019,Mute,3,4,9
8,01/30/2019,MyTAP V,9,5,10
8,02/13/2019,SPT,7,10,7
12,01/20/2019,Mute,9,2,7
12,02-03-2019,MyTAP V,2,9,5
12,02/17/2019,SPT,10,6,10
13,01/26/2019,MyTAP V,6,6,10
13,02-09-2019,SPT,5,1,8
14,01/17/2019,Mute,1,9,4
14,01/31/2019,MyTAP V,9,7,4
14,02/14/2019,SPT,8,10,5
15,01/17/2019,Mute,10,3,9
15,01/31/2019,MyTAP V,4,3,8
15,02/14/2019,SPT,7,5,9
16,01/20/2019,Mute,5,9,1
16,02-03-2019,MyTAP V,2,9,5
16,02/17/2019,SPT,6,2,5
17,01/18/2019,Mute,10,7,1
17,02-01-2019,MyTAP V,1,2,4
17,02/15/2019,SPT,4,9,10
18,01/19/2019,Mute,4,1,2
18,02-02-2019,MyTAP V,1,4,2
18,02/16/2019,SPT,1,6,2
19,01/15/2019,Mute,9,4,5
19,01/29/2019,MyTAP V,8,4,9
19,02-12-2019,SPT,3,10,10
20,02-02-2019,MyTAP V,4,3,6
20,02/16/2019,SPT,3,9,9
21,01-11-2019,Mute,3,8,9
21,01/25/2019,MyTAP V,3,5,9
21,02-08-2019,SPT,10,7,4
23,02-02-2019,MyTAP V,7,4,2
23,02/16/2019,SPT,2,7,6
26,01/18/2019,Mute,2,1,5
26,02-01-2019,MyTAP V,4,4,3
26,02/15/2019,SPT,2,9,2
27,01-12-2019,Mute,1,3,7
27,01/26/2019,MyTAP V,6,5,3
27,02-09-2019,SPT,4,6,2
28,01/19/2019,Mute,7,3,8
28,02-02-2019,MyTAP V,1,5,9
28,02/16/2019,SPT,3,9,2
29,01/13/2019,Mute,5,8,6
29,01/27/2019,MyTAP V,3,6,6
29,02-10-2019,SPT,4,5,2
31,01/14/2019,Mute,4,10,6
31,02-11-2019,SPT,8,3,5
32,01-12-2019,Mute,4,4,2
32,01/26/2019,MyTAP V,6,1,10
32,02-09-2019,SPT,9,4,10
34,01-11-2019,Mute,4,4,4
34,01/25/2019,MyTAP V,9,8,3
34,02-08-2019,SPT,7,3,5
35,01/20/2019,Mute,3,7,10
35,02-03-2019,MyTAP V,2,7,7
35,02/17/2019,SPT,10,8,9
38,01/19/2019,Mute,6,4,3
38,02-02-2019,MyTAP V,9,8,2
38,02/16/2019,SPT,1,2,3
39,01/13/2019,Mute,1,4,10
39,01/27/2019,MyTAP V,2,2,8
39,02-10-2019,SPT,2,9,3
